"","Course Name","Instructor","Section","Course Title","CRN","Subject","Enrollment","Responses","Declines","Department","Number","Course Related Questions Course","Course Related Questions Department","Course Related Questions University","Learning Related Questions Course","Learning Related Questions Department","Learning Related Questions University","Instructor Related Questions Course","Instructor Related Questions Department","Instructor Related Questions University","Instructor Effectiveness Course","Instructor Effectiveness Department","Instructor Effectiveness University","Syllabus Helped Course","Syllabus Helped Department","Syllabus Helped University","Textbook Helped Course","Textbook Helped Department","Textbook Helped University","Online Helped Course","Online Helped Department","Online Helped University","Assignments Helped Course","Assignments Helped Department","Assignments Helped University","Lectures Helped Course","Lectures Helped Department","Lectures Helped University","Inclass Helped Course","Inclass Helped Department","Inclass Helped University","Classroom Technology Helped Course","Classroom Technology Helped Department","Classroom Technology Helped University","Course Was Intellectual Course","Course Was Intellectual Department","Course Was Intellectual University","Learned a Lot Course","Learned a Lot Department","Learned a Lot University","Learned Concepts And Principles Course","Learned Concepts And Principles Department","Learned Concepts And Principles University","Developed Skills Expressing Course","Developed Skills Expressing Department","Developed Skills Expressing University","Learned Analyze and Evaluate Course","Learned Analyze and Evaluate Department","Learned Analyze and Evaluate University","Instructor Communication Skills Course","Instructor Communication Skills Department","Instructor Communication Skills University","Instructor Communicated Course","Instructor Communicated Department","Instructor Communicated University","Instructor Stated Objectives Course","Instructor Stated Objectives Department","Instructor Stated Objectives University","Instructor Covered Stated Course","Instructor Covered Stated Department","Instructor Covered Stated University","Instructor Prepared Course","Instructor Prepared Department","Instructor Prepared University","Instructor Used Class Time Well Course","Instructor Used Class Time Well Department","Instructor Used Class Time Well University","Instructor Provided Feedback Course","Instructor Provided Feedback Department","Instructor Provided Feedback University","Instructor Fairly Evaluated Performance Course","Instructor Fairly Evaluated Performance Department","Instructor Fairly Evaluated Performance University","Would Recommend Course","Would Recommend Department","Would Recommend University","Respected Students Course","Respected Students Department","Respected Students University","Instructor Took Effective Action Course","Instructor Took Effective Action Department","Instructor Took Effective Action University","Instructor Available Outside of Class Course","Instructor Available Outside of Class Department","Instructor Available Outside of Class University","Instructor Displayed Enthusiasm Course","Instructor Displayed Enthusiasm Department","Instructor Displayed Enthusiasm University","Instructor Overall Course","Instructor Overall Department","Instructor Overall University","Spent 1-4 Hours","Spent 5-8 Hours","Spent 9-12 Hours","Spent 13-16 Hours","Spent 17-20 Hours"
"11","Lab for CS 2510 (201640: Summer 1 2016)","Razzaq, Leena","02","Lab for CS 2510","40731","CS","17","5","2","Computer Science","2511","4.0","4.0","4.0","4.0","4.1","4.2","4.4","4.4","4.2","4.2","4.4","4.4","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","3.8","4.2","4.4","4.1","3.9","4.1","4.3","4.1","4.0","4.3","4.3","4.3","4.2","4.1","4.1","4.0","4.0","4.0","4.0","4.3","4.3","3.8","4.0","4.3","4.3","4.0","4.2","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.4","4.3","4.4","4.5","4.5","4.3","4.2","4.3","4.3","4.6","4.3","4.5","4.5","4.5","4.3","4.4","4.5","4.5","4.4","4.2","4.3","4.3","4.5","4.4","4.4","4.5","4.0","4.4","4.4",NA,NA,NA,NA,NA
"12","Logic and Computation (201640: Summer 1 2016)","Sprague, David","01","Logic and Computation","40732","CS","45","36","0","Computer Science","2800","4.1","4.1","4.5","4.6","4.1","4.2","4.4","4.4","4.2","4.2","4.4","4.4","3.9","3.6","4.1","4.5","4.2","4.1","4.0","4.1","4.0","3.8","4.2","4.4","4.1","3.9","4.1","4.3","4.1","4.0","4.3","4.3","4.3","4.2","4.1","4.1","4.2","4.3","3.7","3.9","4.3","4.3","3.8","4.0","4.3","4.3","4.0","4.2","4.6","4.4","4.6","4.6","4.5","4.2","4.3","4.5","4.6","4.7","4.6","4.5","4.7","4.4","4.3","4.4","4.5","4.5","4.3","4.2","4.3","4.3","4.6","4.3","4.5","4.5","4.5","4.3","4.4","4.5","4.5","4.4","4.2","4.3","4.3","4.5","4.4","4.4","4.5","4.6","4.4","4.4",NA,"28","42",NA,"19"
"13","Lab for CS 2800 (201640: Summer 1 2016)","Sprague, David","01","Lab for CS 2800","40733","CS","8","3","0","Computer Science","2801","3.9","4.0","4.2","4.7","4.1","4.2","4.4","4.4","4.2","4.2","4.4","4.4","4.0","3.5","4.0","4.5","4.5","3.7","3.7","4.0","4.0","3.8","4.2","4.4","4.1","3.9","4.1","4.3","4.1","4.0","4.3","4.3","4.3","4.2","4.1","4.1","4.3","4.3","3.7","3.7","4.3","4.3","3.8","4.0","4.3","4.3","4.0","4.2","4.3","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.7","4.3","4.3","4.3","4.4","4.3","4.4","4.5","4.5","4.3","4.2","4.3","4.3","4.6","4.3","4.5","4.5","4.5","4.3","4.4","4.5","4.5","4.4","4.2","4.3","4.3","4.5","4.4","4.4","4.5","4.7","4.4","4.4","33",NA,"67",NA,NA
"14","Lab for CS 2800 (201640: Summer 1 2016)","Sprague, David","02","Lab for CS 2800","40734","CS","10","5","1","Computer Science","2801","3.6","3.5","3.8","4.3","4.1","4.2","4.4","4.4","4.2","4.2","4.4","4.4","3.5","3.3","3.8","3.8","3.8","3.8","3.8","3.3","4.0","3.8","4.2","4.4","4.1","3.9","4.1","4.3","4.1","4.0","4.3","4.3","4.3","4.2","4.1","4.1","3.5","3.5","3.5","3.5","4.3","4.3","3.8","4.0","4.3","4.3","4.0","4.2","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","4.4","4.3","4.4","4.5","4.5","4.3","4.2","4.3","4.3","4.6","4.3","4.5","4.5","4.5","4.3","4.4","4.5","4.5","4.4","4.2","4.3","4.3","4.5","4.4","4.4","4.5","4.3","4.4","4.4","50",NA,"25","25",NA
"15","Lab for CS 2800 (201640: Summer 1 2016)","Sprague, David","03","Lab for CS 2800","40735","CS","9","3","0","Computer Science","2801","3.9","3.7","4.7","5.0","4.1","4.2","4.4","4.4","4.2","4.2","4.4","4.4","4.0","4.0","4.0","4.0","4.0","4.0","4.0","3.7","4.0","3.8","4.2","4.4","4.1","3.9","4.1","4.3","4.1","4.0","4.3","4.3","4.3","4.2","4.1","4.1","4.0","3.7","3.5","3.7","4.3","4.3","3.8","4.0","4.3","4.3","4.0","4.2","5.0","4.5","4.5","4.5","5.0","5.0","4.5","4.5","5.0","5.0","4.5","4.5","5.0","4.4","4.3","4.4","4.5","4.5","4.3","4.2","4.3","4.3","4.6","4.3","4.5","4.5","4.5","4.3","4.4","4.5","4.5","4.4","4.2","4.3","4.3","4.5","4.4","4.4","4.5","5.0","4.4","4.4","100",NA,NA,NA,NA
"16","Lab for CS 2800 (201640: Summer 1 2016)","Sprague, David","04","Lab for CS 2800","40736","CS","18","10","0","Computer Science","2801","4.3","4.4","4.7","4.7","4.1","4.2","4.4","4.4","4.2","4.2","4.4","4.4","4.4","4.0","4.3","4.6","4.6","4.4","4.4","3.9","4.0","3.8","4.2","4.4","4.1","3.9","4.1","4.3","4.1","4.0","4.3","4.3","4.3","4.2","4.1","4.1","4.3","4.5","4.3","4.4","4.3","4.3","3.8","4.0","4.3","4.3","4.0","4.2","4.8","4.8","4.7","4.8","4.7","4.8","4.8","4.7","4.8","4.8","4.8","4.6","4.6","4.4","4.3","4.4","4.5","4.5","4.3","4.2","4.3","4.3","4.6","4.3","4.5","4.5","4.5","4.3","4.4","4.5","4.5","4.4","4.2","4.3","4.3","4.5","4.4","4.4","4.5","4.7","4.4","4.4","67",NA,"11","22",NA
"17","Database Design (201640: Summer 1 2016)","Durant, Kathleen","01","Database Design","41147","CS","46","22","1","Computer Science","3200","4.1","4.1","4.5","4.5","4.1","4.2","4.4","4.4","4.2","4.2","4.4","4.4","4.2","4.2","4.6","4.5","3.7","3.7","4.0","3.8","4.0","3.8","4.2","4.4","4.1","3.9","4.1","4.3","4.1","4.0","4.3","4.3","4.3","4.2","4.1","4.1","4.3","4.4","3.5","3.8","4.3","4.3","3.8","4.0","4.3","4.3","4.0","4.2","4.4","4.4","4.4","4.5","4.4","4.4","4.4","4.5","4.4","4.6","4.4","4.6","4.5","4.4","4.3","4.4","4.5","4.5","4.3","4.2","4.3","4.3","4.6","4.3","4.5","4.5","4.5","4.3","4.4","4.5","4.5","4.4","4.2","4.3","4.3","4.5","4.4","4.4","4.5","4.5","4.4","4.4",NA,"30","30",NA,"25"
"18","Object-Oriented Design (201640: Summer 1 2016)","Shesh, Amit","01","Object-Oriented Design","40235","CS","93","50","1","Computer Science","3500","4.1","4.3","4.5","4.6","4.1","4.2","4.4","4.4","4.2","4.2","4.4","4.4","3.9","3.6","4.2","4.6","4.0","4.0","4.2","4.4","4.0","3.8","4.2","4.4","4.1","3.9","4.1","4.3","4.1","4.0","4.3","4.3","4.3","4.2","4.1","4.1","4.4","4.6","3.7","4.2","4.3","4.3","3.8","4.0","4.3","4.3","4.0","4.2","4.7","4.5","4.5","4.6","4.6","4.2","4.2","4.2","4.5","4.6","4.4","4.6","4.7","4.4","4.3","4.4","4.5","4.5","4.3","4.2","4.3","4.3","4.6","4.3","4.5","4.5","4.5","4.3","4.4","4.5","4.5","4.4","4.2","4.3","4.3","4.5","4.4","4.4","4.5","4.6","4.4","4.4",NA,NA,"63","20",NA
"19","Web Development (201640: Summer 1 2016)","Annunziato, Jose","01","Web Development","41254","CS","32","11","0","Computer Science","4550","4.5","4.4","4.5","4.6","4.1","4.2","4.4","4.4","4.2","4.2","4.4","4.4","4.4","4.5","4.7","4.5","4.4","4.7","4.4","4.5","4.0","3.8","4.2","4.4","4.1","3.9","4.1","4.3","4.1","4.0","4.3","4.3","4.3","4.2","4.1","4.1","4.7","4.7","4.0","3.9","4.3","4.3","3.8","4.0","4.3","4.3","4.0","4.2","4.6","4.5","4.5","4.5","4.6","4.4","3.9","4.5","4.5","4.6","4.4","4.5","4.6","4.4","4.3","4.4","4.5","4.5","4.3","4.2","4.3","4.3","4.6","4.3","4.5","4.5","4.5","4.3","4.4","4.5","4.5","4.4","4.2","4.3","4.3","4.5","4.4","4.4","4.5","4.6","4.4","4.4",NA,NA,NA,"36","45"
"20","Algorithms  Data (201640: Summer 1 2016)","Gold, Kevin","01","Algorithms  Data","40573","CS","81","40","1","Computer Science","4800","4.3","4.5","4.6","4.7","4.1","4.2","4.4","4.4","4.2","4.2","4.4","4.4","3.8","3.5","4.6","4.7","4.4","4.2","4.3","4.8","4.0","3.8","4.2","4.4","4.1","3.9","4.1","4.3","4.1","4.0","4.3","4.3","4.3","4.2","4.1","4.1","4.7","4.7","4.2","4.4","4.3","4.3","3.8","4.0","4.3","4.3","4.0","4.2","4.6","4.5","4.6","4.7","4.8","4.8","4.5","4.6","4.5","4.8","4.5","4.7","4.7","4.4","4.3","4.4","4.5","4.5","4.3","4.2","4.3","4.3","4.6","4.3","4.5","4.5","4.5","4.3","4.4","4.5","4.5","4.4","4.2","4.3","4.3","4.5","4.4","4.4","4.5","4.7","4.4","4.4",NA,"3","18","54","26"
"21","Web Development (201640: Summer 1 2016)","Annunziato, Jose","01","Web Development","41214","CS","50","23","0","Computer Science","5610","4.6","4.4","4.8","4.8","4.1","4.2","4.4","4.4","4.2","4.2","4.4","4.4","4.9","3.9","4.7","4.7","4.8","4.5","4.8","4.3","4.0","3.8","4.2","4.4","4.1","3.9","4.1","4.3","4.1","4.0","4.3","4.3","4.3","4.2","4.1","4.1","4.7","4.6","4.0","4.3","4.3","4.3","3.8","4.0","4.3","4.3","4.0","4.2","4.9","4.8","4.9","4.9","4.9","4.9","4.6","4.9","4.8","4.9","4.9","4.7","4.9","4.4","4.3","4.4","4.5","4.5","4.3","4.2","4.3","4.3","4.6","4.3","4.5","4.5","4.5","4.3","4.4","4.5","4.5","4.4","4.2","4.3","4.3","4.5","4.4","4.4","4.5","4.8","4.4","4.4",NA,"4","9","35","52"
"22","Algorithms (201640: Summer 1 2016)","Kantor, Erez","01","Algorithms","41215","CS","28","7","0","Computer Science","5800","3.9","4.2","4.0","3.4","4.1","4.2","4.4","4.4","4.2","4.2","4.4","4.4","4.0","3.9","4.1","4.6","3.4","3.5","3.2","4.7","4.0","3.8","4.2","4.4","4.1","3.9","4.1","4.3","4.1","4.0","4.3","4.3","4.3","4.2","4.1","4.1","4.3","4.0","4.3","4.2","4.3","4.3","3.8","4.0","4.3","4.3","4.0","4.2","3.9","3.4","4.1","4.7","4.7","4.6","3.4","4.0","3.0","4.7","3.6","4.0","4.4","4.4","4.3","4.4","4.5","4.5","4.3","4.2","4.3","4.3","4.6","4.3","4.5","4.5","4.5","4.3","4.4","4.5","4.5","4.4","4.2","4.3","4.3","4.5","4.4","4.4","4.5","3.4","4.4","4.4",NA,NA,"14","43","43"
"23","Cryptography  Comm Security (201640: Summer 1 2016)","Chandrasekaran, Pandurangan","01","Cryptography  Comm Security","41216","CS","8","5","0","Computer Science","6750","4.2","4.3","4.3","4.2","4.1","4.2","4.4","4.4","4.2","4.2","4.4","4.4","4.0","4.6","4.0","4.0","4.4","3.8","3.8","4.8","4.0","3.8","4.2","4.4","4.1","3.9","4.1","4.3","4.1","4.0","4.3","4.3","4.3","4.2","4.1","4.1","4.8","4.2","4.2","4.2","4.3","4.3","3.8","4.0","4.3","4.3","4.0","4.2","4.6","4.4","3.8","4.4","4.6","4.6","3.6","3.4","4.0","4.6","4.2","4.6","4.8","4.4","4.3","4.4","4.5","4.5","4.3","4.2","4.3","4.3","4.6","4.3","4.5","4.5","4.5","4.3","4.4","4.5","4.5","4.4","4.2","4.3","4.3","4.5","4.4","4.4","4.5","4.2","4.4","4.4",NA,"20","20",NA,"60"
"24","User Experience Design/Testing (201640: Summer 1 2016)","Chawla, Vishal","V30","User Experience Design/Testing","41268","CSYE","27","13","0","Grad Engineering - Multidiscpl","7280","4.0","4.1","4.1","4.2","4.5","4.5","4.6","4.7","4.2","4.2","4.4","4.4","3.9","4.1","4.0","3.9","3.9","4.0","4.1","3.9","4.5","4.4","4.6","4.5","4.5","4.4","4.4","4.5","4.1","4.0","4.3","4.3","4.3","4.2","4.1","4.1","4.1","4.1","4.0","4.1","4.6","4.6","4.3","4.4","4.3","4.3","4.0","4.2","4.2","4.0","4.1","4.0","4.1","4.1","4.2","4.1","4.0","4.2","4.1","4.2","4.3","4.7","4.6","4.7","4.6","4.7","4.6","4.6","4.6","4.6","4.7","4.7","4.6","4.7","4.5","4.3","4.4","4.5","4.5","4.4","4.2","4.3","4.3","4.5","4.4","4.4","4.5","4.2","4.7","4.4",NA,"31","38",NA,"23"
"25","User Experience Design/Testing (201640: Summer 1 2016)","Chawla, Vishal","V35","User Experience Design/Testing","41405","CSYE","10","6","0","Grad Engineering - Multidiscpl","7280","4.1","4.1","4.3","4.3","4.5","4.5","4.6","4.7","4.2","4.2","4.4","4.4","4.0","4.2","4.3","4.2","4.0","4.0","4.3","4.2","4.5","4.4","4.6","4.5","4.5","4.4","4.4","4.5","4.1","4.0","4.3","4.3","4.3","4.2","4.1","4.1","4.2","4.2","4.2","4.0","4.6","4.6","4.3","4.4","4.3","4.3","4.0","4.2","4.3","4.2","4.3","4.3","4.3","4.2","4.7","4.3","4.2","4.3","4.3","4.5","4.3","4.7","4.6","4.7","4.6","4.7","4.6","4.6","4.6","4.6","4.7","4.7","4.6","4.7","4.5","4.3","4.4","4.5","4.5","4.4","4.2","4.3","4.3","4.5","4.4","4.4","4.5","4.3","4.7","4.4",NA,"33","17","17","33"
"26","Principles of Macroeconomics (201640: Summer 1 2016)","Zhang, Hanchun","01","Principles of Macroeconomics","40067","ECON","20","9","0","Economics","1115","4.0","3.6","4.0","3.9","3.9","4.0","4.2","4.1","4.2","4.2","4.4","4.4","4.1","4.3","4.2","4.3","3.9","3.5","3.3","3.9","3.8","3.9","4.1","3.9","4.0","4.0","3.9","4.0","4.1","4.0","4.3","4.3","4.3","4.2","4.1","4.1","3.9","3.8","3.1","3.3","4.1","4.2","3.8","4.0","4.3","4.3","4.0","4.2","3.8","3.3","3.9","4.3","4.4","4.2","3.4","3.7","3.6","4.4","4.0","4.1","4.3","4.2","4.0","4.2","4.3","4.3","4.1","3.9","4.2","4.0","4.4","4.1","4.3","4.3","4.5","4.3","4.4","4.5","4.5","4.4","4.2","4.3","4.3","4.5","4.4","4.4","4.5","3.9","4.1","4.4",NA,"56","44",NA,NA
